created_at,entry_id,field1,field2,field3,field3 percentage,status
2020-10-02 09:38:12 UTC,1757,31.5,78,464,54.6,0
2020-10-02 09:38:29 UTC,1758,31.5,77,460,55,0
2020-10-02 09:38:47 UTC,1759,31.5,79,465,54.5,0
2020-10-02 09:39:04 UTC,1760,31.5,79,460,55,0
2020-10-02 09:39:21 UTC,1761,31.5,77,460,55,0
2020-10-02 09:39:38 UTC,1762,31.5,77,460,55,0
2020-10-02 09:39:56 UTC,1763,31.5,80,465,54.5,0
2020-10-02 09:40:13 UTC,1764,31.5,79,465,54.5,0
2020-10-02 09:40:30 UTC,1765,31.5,80,461,54.9,0
2020-10-02 09:40:47 UTC,1766,31.5,81,460,55,0
2020-10-02 09:41:04 UTC,1767,31.5,78,461,54.9,0
2020-10-02 09:41:21 UTC,1768,31.5,78,466,54.4,0
2020-10-02 09:41:39 UTC,1769,31.5,78,461,54.9,0
2020-10-02 09:41:56 UTC,1770,31.6,77,466,54.4,0
2020-10-02 09:42:13 UTC,1771,31.6,80,461,54.9,0
2020-10-02 09:42:30 UTC,1772,31.6,78,461,54.9,0
2020-10-02 09:42:47 UTC,1773,31.6,78,468,54.3,0
2020-10-02 09:43:05 UTC,1774,31.5,78,468,54.3,0
2020-10-02 09:43:22 UTC,1775,31.5,77,468,54.3,0
2020-10-02 09:43:39 UTC,1776,31.4,77,462,54.8,0
2020-10-02 09:43:56 UTC,1777,31.4,77,463,54.7,0
2020-10-02 09:44:13 UTC,1778,31.3,78,464,54.6,0
2020-10-02 09:44:31 UTC,1779,31.3,79,464,54.6,0
2020-10-02 09:44:48 UTC,1780,31.3,79,464,54.6,0
2020-10-02 09:45:05 UTC,1781,31.3,79,469,54.2,0
2020-10-02 09:45:22 UTC,1782,31.3,82,470,54.1,0
2020-10-02 09:45:39 UTC,1783,31.2,80,465,54.5,0
2020-10-02 09:45:57 UTC,1784,31.2,81,465,54.5,0
2020-10-02 09:46:14 UTC,1785,31.2,79,466,54.4,0
2020-10-02 09:46:31 UTC,1786,31.3,81,471,54,0
2020-10-02 09:46:48 UTC,1787,31.3,78,468,54.3,0
2020-10-02 09:47:05 UTC,1788,31.3,79,468,54.3,0
2020-10-02 09:47:22 UTC,1789,31.3,77,469,54.2,0
2020-10-02 09:47:40 UTC,1790,31.3,78,469,54.2,0
2020-10-02 09:47:57 UTC,1791,31.4,77,469,54.2,0
2020-10-02 09:48:14 UTC,1792,31.4,78,469,54.2,0
2020-10-02 09:48:31 UTC,1793,31.4,76,470,54.1,0
2020-10-02 09:48:48 UTC,1794,31.4,78,470,54.1,0
2020-10-02 09:49:06 UTC,1795,31.4,80,470,54.1,0
2020-10-02 09:49:23 UTC,1796,31.4,78,470,54.1,0
2020-10-02 09:49:40 UTC,1797,31.3,80,471,54,0
2020-10-02 09:49:57 UTC,1798,31.3,79,471,54,0
2020-10-02 09:50:14 UTC,1799,31.3,79,471,54,0
