Temperature,Humidity,Soil Moisture,Soil Moisture Percentage,status
27.9,90,710,30.7,1
28,90,706,31.1,1
28.1,90,705,31.2,1
28.1,91,703,31.3,1
28,91,705,31.2,1
28,90,708,30.9,1
28,90,706,31.1,1
28,90,705,31.2,1
28.1,89,696,32.0,1
28,91,702,31.4,1
28,92,705,31.2,1
28,91,710,30.7,1
28,91,713,30.4,1
28,91,705,31.2,1
28.1,90,697,31.9,1
28.1,89,712,30.5,1
28.1,90,709,30.8,1
28.1,89,706,31.1,1
28.1,88,697,31.9,1
28.1,88,697,31.9,1
28.1,89,697,31.9,1
28.1,88,694,32.2,1
28.1,88,706,31.1,1
28.1,90,702,31.4,1
28.1,91,706,31.1,1
28.1,90,703,31.3,1
28.2,92,697,31.9,1
28.2,91,696,32.0,1
28.2,92,693,32.3,1
28.2,90,701,31.5,1
28.2,91,687,32.9,1
28.2,90,691,32.5,1
28.2,89,685,33.1,1
28.2,89,687,32.9,1
28.2,89,685,33.1,1
28.2,90,680,33.6,1
28.2,88,673,34.3,1
28.2,91,672,34.4,1
28.2,90,673,34.3,1
28.2,89,675,34.1,1
28.2,89,672,34.4,1
28.2,88,676,34.0,1
28.2,89,675,34.1,1
28.2,90,678,33.8,1
28.2,88,678,33.8,1
28.2,88,676,34.0,1
28.3,89,674,34.2,1
28.3,89,676,34.0,1
28.3,90,670,34.6,1
28.3,87,666,35.0,1
28.2,88,666,35.0,1
28.2,88,672,34.4,1
28.2,89,674,34.2,1
28.2,89,673,34.3,1
28.2,89,676,34.0,1
28.2,88,678,33.8,1
28.2,89,668,34.8,1
28.2,88,670,34.6,1
28.2,89,666,35.0,1
28.2,89,663,35.3,1
28.2,89,662,35.4,1
28.2,91,654,36.1,1
28.2,89,654,36.1,1
28.2,90,658,35.7,1
28.2,90,658,35.7,1
28.2,90,655,36.0,1
28.2,90,655,36.0,1
28.2,90,658,35.7,1
28.2,91,654,36.1,1
28.2,92,656,35.9,1
28.2,92,655,36.0,1
28.2,92,653,36.2,1
28.2,91,655,36.0,1
28.2,92,654,36.1,1
28.2,90,650,36.5,1
28.2,92,653,36.2,1
28.2,91,655,36.0,1
28.3,91,657,35.8,1
28.3,91,657,35.8,1
28.3,91,658,35.7,1
28.3,91,652,36.3,1
28.3,91,648,36.7,1
28.3,90,655,36.0,1
28.3,91,656,35.9,1
28.3,90,658,35.7,1
28.3,89,661,35.4,1
28.3,90,658,35.7,1
28.3,89,656,35.9,1
28.4,91,657,35.8,1
28.4,90,661,35.4,1
28.3,88,662,35.4,1
28.4,90,661,35.4,1
28.4,90,649,36.6,1
28.4,88,654,36.1,1
28.4,88,656,35.9,1
28.5,89,653,36.2,1
28.5,88,656,35.9,1
28.5,89,652,36.3,1
28.5,90,655,36.0,1
28.5,90,654,36.1,1
28.5,89,643,37.2,1
28.5,89,646,36.9,1
28.6,90,649,36.6,1
28.6,89,648,36.7,1
28.6,89,649,36.6,1
28.6,88,646,36.9,1
28.7,89,645,37.0,1
28.7,90,649,36.6,1
28.7,90,648,36.7,1
28.7,88,648,36.7,1
28.7,89,646,36.9,1
28.7,89,644,37.1,1
28.7,88,649,36.6,1
28.7,88,646,36.9,1
28.7,90,643,37.2,1
28.7,87,644,37.1,1
28.7,88,644,37.1,1
28.7,87,646,36.9,1
28.7,89,637,37.8,1
28.7,88,639,37.6,1
28.7,87,640,37.5,1
28.7,88,642,37.3,1
28.7,88,639,37.6,1
28.7,88,643,37.2,1
28.7,87,643,37.2,1
28.7,87,640,37.5,1
28.7,87,645,37.0,1
28.7,87,634,38.1,1
28.7,88,616,39.8,1
28.7,88,633,38.2,1
28.7,87,643,37.2,1
28.7,88,636,37.9,1
28.7,88,636,37.9,1
28.7,89,637,37.8,1
28.8,89,632,38.3,1
28.6,86,640,37.5,1
28.8,87,640,37.5,1
28.8,87,641,37.4,1
28.8,85,640,37.5,1
28.8,84,642,37.3,1
28.9,85,634,38.1,1
28.9,85,640,37.5,1
28.9,86,642,37.3,1
28.9,87,633,38.2,1
28.9,87,632,38.3,1
29,88,632,38.3,1
29,86,630,38.5,1
29.1,87,629,38.6,1
29.1,87,633,38.2,1
29.1,87,639,37.6,1
29.1,85,634,38.1,1
29.1,84,629,38.6,1
29.1,85,634,38.1,1
29.1,87,634,38.1,1
29.1,84,634,38.1,1
28.5,84,389,62.0,0
28.5,86,498,51.4,0
28.5,86,529,48.3,0
28.5,84,538,47.5,0
28.5,85,547,46.6,0
28.5,87,555,45.8,0
28.5,87,553,46.0,0
28.5,86,554,45.9,0
28.5,85,555,45.8,0
28.5,85,557,45.6,0
28.5,84,562,45.1,0
28.5,84,559,45.4,0
28.5,86,559,45.4,0
28.5,88,564,44.9,0
28.6,88,565,44.8,0
28.6,85,561,45.2,0
28.6,84,566,44.7,0
28.6,84,561,45.2,0
28.6,84,561,45.2,0
28.5,84,560,45.3,0
28.6,84,562,45.1,0
28.6,85,562,45.1,0
28.6,84,562,45.1,0
28.6,86,561,45.2,0
28.6,86,562,45.1,0
28.6,87,561,45.2,0
